lon,lat,sensor
-3.823591450918023,43.4593294563689,2012
-3.7954695353964687,43.463067249052074,2037
-3.79358146194165,43.46284625642153,2032
-3.7965489376875947,43.46336588126894,2033
-3.796755697161408,43.46404876827053,2034
-3.7983820118645273,43.46231760108342,2030
-3.8006759663261986,43.4619143755439,2043
-3.8108382488544974,43.461806746502354,2016
-3.8118337178388275,43.46155656663748,2040
-3.8123620473656814,43.46177792206734,2015
-3.811675316244493,43.46209794982114,2014
-3.810254302825353,43.461585778148,2017
-3.8092627101024648,43.461385701260106,2019
-3.7995263327061872,43.46257073037124,2029
-3.799856082256003,43.46217223447628,2028
-3.803732514814816,43.46178487983374,2026
-3.820468915658142,43.460234327330596,2013
-3.806259943588895,43.461559987147204,2024
-3.8176878393963745,43.455572004696336,1010
-3.8208669437179035,43.4544777123065,1007
-3.824337448790182,43.45355231312278,1019
-3.8129476349756692,43.45741567218863,1013
-3.8124009290450944,43.45572674583399,1012
-3.809519993050535,43.45769211107121,1015
-3.8094464709396294,43.45764760997331,1016
-3.8088312418829293,43.45850737365815,1018
-3.8075419750914095,43.45915579266607,1017
-3.8283500834984032,43.45332521960427,1003
-3.8282133940813843,43.45336222703308,1004
-3.828174157625682,43.45410986988515,1005
-3.8282146888087834,43.4541816108836,1006
-3.829655258781507,43.45368493421371,1027
-3.8296248593691633,43.45363112885307,1001
-3.8290158392261806,43.453383424964464,1002
-3.8289546608952474,43.453428890108675,1028
-3.8291177001725814,43.45106857527978,1022
-3.8288686797610625,43.4511154022854,1023
-3.8287997261102094,43.45104386749611,1024
-3.829191474491337,43.45113107059377,1021
-3.8268772017920365,43.45190419277687,1026
-3.8265772807774594,43.45175328772584,1025
-3.7967571941321827,43.4654804428202,2035
-3.7881921330385118,43.4730583968046,7028
-3.7884789210177137,43.47343459995087,7027
-3.787978174605068,43.47333900466552,7029
-3.793355944227915,43.472824589870456,7018
-3.7931566689174567,43.47280796377366,7017
-3.7972636006932587,43.471653864225054,7016
-3.794894422242286,43.47172438491738,7015
-3.800526032873377,43.470973756160454,7013
-3.804989037575707,43.47021307461305,7011
-3.8232296708783524,43.46637343028839,7006
-3.8305732317919348,43.464042234228664,3009
-3.8391940178800295,43.46275470310509,3046
-3.8391848673410776,43.46271875303958,3047
-3.839128036821824,43.46298929928964,3045
-3.839283789588544,43.463078199211175,3044
-3.838126184715538,43.4626814965117,3001
-3.8381056693676174,43.46271766411099,3002
-3.8387305154774083,43.46293819006503,3042
-3.838785773355995,43.46300081486073,3043
-3.83430775411304,43.46197106849867,3004
-3.83293154793916,43.46077452439141,3005
-3.831826429047412,43.460683521876696,3006
-3.8543323500654636,43.457933343128424,4022
-3.852618836724293,43.45835132706929,4023
-3.852591616465734,43.45826148692799,4024
-3.8503331724505836,43.45878254596506,4026
-3.8503110254059387,43.45870167186738,4025
-3.8462163168316845,43.459533432430284,4027
-3.846190592590742,43.45946158832402,4028
-3.8218904857776446,43.46069234224635,2047
-3.8222813266540117,43.46061749775413,2048
-3.8310885728031923,43.46339918398994,3069
-3.8311517356433535,43.46340772918492,3068
-3.8309182419976944,43.46341843050923,3070
-3.830899451423858,43.46349060150423,3071
-3.8113777117070837,43.46304551452138,2051
-3.81111611466193,43.463173430838545,2049
-3.8115503365183856,43.46319736269512,2050
-3.811389576582701,43.46374776638193,2055
-3.811118087882488,43.463875752882515,2054
-3.810951883307577,43.46374186715641,2053
-3.8109563462037066,43.46370581827247,2052
-3.811210529401176,43.46357795492852,2056
-3.8095678537811124,43.462112890409514,2057
-3.8332686050956175,43.46011475395603,3072
-3.8332396824818558,43.460078947481044,3073
-3.8485174123988757,43.45542842155462,4005
-3.8138738939220334,43.45532908536867,1031
-3.835653551429289,43.46194323228442,3074
-3.8356243825770324,43.46197946268636,3075
-3.8342504011241667,43.46193546973221,3076
-3.833931121296134,43.46128048425882,3077
-3.835311260682149,43.46114434990763,3080
-3.8355699690272993,43.46134955876823,3078
-3.835512243926864,43.461286950424515,3079
-3.794932930914258,43.47579405823816,7024
-3.796173774546999,43.47650576800658,7025
-3.7962799922765686,43.47668511413972,7026
